BR,HR,RRI,MOVING,DETECT,NO_ONE,STABLE
-0.000509551,75,0.8,Y,Y,Y,Y
-0.000217389,75,0.8,Y,Y,Y,Y
0.0000473,200,0.3,Y,Y,Y,Y
0.000249183,120,0.5,Y,Y,Y,Y
0.000406174,75,0.8,Y,Y,Y,Y
0.000565683,75,0.8,Y,Y,Y,Y
0.000700741,70.59,0.85,Y,Y,Y,Y
0.000752658,70.59,0.85,Y,Y,Y,Y
0.000790649,109.09,0.55,Y,Y,Y,Y
0.000908022,63.16,0.95,Y,Y,Y,Y
0.001058942,75,0.8,Y,Y,Y,Y
0.001162729,70.59,0.85,Y,Y,Y,Y
0.001228258,60,1,Y,Y,Y,Y
0.001304254,50,1.2,Y,Y,Y,Y
0.001394635,75,0.8,Y,Y,Y,Y
0.001469535,75,0.8,Y,Y,Y,Y
0.001529408,75,0.8,Y,Y,Y,Y
0.001601601,75,0.8,Y,Y,Y,Y
0.001684669,80,0.75,Y,Y,Y,Y
0.001763385,70.59,0.85,Y,Y,Y,Y
0.001821463,70.59,0.85,Y,Y,Y,Y
0.001816419,200,0.3,Y,Y,Y,Y
0.001760744,109.09,0.55,Y,Y,Y,Y
0.001749535,200,0.3,Y,Y,Y,Y
0.001810662,52.17,1.15,Y,Y,Y,Y
0.001868784,75,0.8,Y,Y,Y,Y
0.001870083,75,0.8,Y,Y,Y,Y
0.00183275,70.59,0.85,Y,Y,Y,Y
0.001795148,70.59,0.85,Y,Y,Y,Y
0.001770833,75,0.8,Y,Y,Y,Y
0.001748418,75,0.8,Y,Y,Y,Y
0.001714839,75,0.8,Y,Y,Y,Y
0.001675251,70.59,0.85,Y,Y,Y,Y
0.001635337,70.59,0.85,Y,Y,Y,Y
0.00159802,70.59,0.85,Y,Y,Y,Y
0.001555878,240,0.25,Y,Y,Y,Y
0.00145181,44.44,1.35,Y,Y,Y,Y
0.001272715,70.59,0.85,Y,Y,Y,Y
0.001118264,70.59,0.85,Y,Y,Y,Y
0.00104644,54.55,1.1,Y,Y,Y,Y
0.000999806,75,0.8,Y,Y,Y,Y
0.00091811,48,1.25,Y,Y,Y,Y
0.000800518,75,0.8,Y,Y,Y,Y
0.000671772,70.59,0.85,Y,Y,Y,Y
0.000552632,75,0.8,Y,Y,Y,Y
0.000458202,200,0.3,Y,Y,Y,Y
0.000376116,48,1.25,Y,Y,Y,Y
0.000279086,240,0.25,Y,Y,Y,Y
0.000171328,109.09,0.55,Y,Y,Y,Y
0.0000837,70.59,0.85,Y,Y,Y,Y
0.0000343,70.59,0.85,Y,Y,Y,Y
-0.0000252,240,0.25,Y,Y,Y,Y
-0.000172595,44.44,1.35,Y,Y,Y,Y
-0.000370802,70.59,0.85,Y,Y,Y,Y
-0.000495676,70.59,0.85,Y,Y,Y,Y
-0.000531992,70.59,0.85,Y,Y,Y,Y
-0.000552371,75,0.8,Y,Y,Y,Y
-0.000588087,75,0.8,Y,Y,Y,Y
-0.000639283,70.59,0.85,Y,Y,Y,Y
-0.000692586,75,0.8,Y,Y,Y,Y
-0.00073215,75,0.8,Y,Y,Y,Y
-0.000754491,75,0.8,Y,Y,Y,Y
-0.000777248,200,0.3,Y,Y,Y,Y
-0.000832536,120,0.5,Y,Y,Y,Y
-0.000927,109.09,0.55,Y,Y,Y,Y
-0.001043798,66.67,0.9,Y,Y,Y,Y
-0.001155879,75,0.8,Y,Y,Y,Y
-0.001257762,80,0.75,Y,Y,Y,Y
-0.001420842,109.09,0.55,Y,Y,Y,Y
-0.001690581,63.16,0.95,Y,Y,Y,Y
-0.001961042,75,0.8,Y,Y,Y,Y
-0.002125551,70.59,0.85,Y,Y,Y,Y
-0.002226967,75,0.8,Y,Y,Y,Y
-0.002345644,60,1,Y,Y,Y,Y
-0.002483875,120,0.5,Y,Y,Y,Y
-0.00259683,75,0.8,Y,Y,Y,Y
-0.00264889,75,0.8,Y,Y,Y,Y
-0.002629099,70.59,0.85,Y,Y,Y,Y
-0.002550272,75,0.8,Y,Y,Y,Y
-0.002438376,57.14,1.05,Y,Y,Y,Y
-0.002313863,120,0.5,Y,Y,Y,Y
-0.002181576,75,0.8,Y,Y,Y,Y
-0.002020503,200,0.3,Y,Y,Y,Y
-0.001795819,85.71,0.7,Y,Y,Y,Y
-0.00154552,50,1.2,Y,Y,Y,Y
-0.001362316,240,0.25,Y,Y,Y,Y
-0.001215334,109.09,0.55,Y,Y,Y,Y
-0.000981685,75,0.8,Y,Y,Y,Y
-0.000658007,48,1.25,Y,Y,Y,Y
-0.000354407,109.09,0.55,Y,Y,Y,Y
-0.000130476,60,1,Y,Y,Y,Y
