BR,HR,RRI,MOVING,DETECT,NO_ONE,STABLE
0.00068119,100,0.6,Y,Y,Y,Y
0.000673282,46.15,1.3,Y,Y,Y,Y
0.000653555,70.59,0.85,Y,Y,Y,Y
0.000641835,70.59,0.85,Y,Y,Y,Y
0.000659248,66.67,0.9,Y,Y,Y,Y
0.000708521,66.67,0.9,Y,Y,Y,Y
0.000775651,52.17,1.15,Y,Y,Y,Y
0.000841004,100,0.6,Y,Y,Y,Y
0.000889804,66.67,0.9,Y,Y,Y,Y
0.000925626,66.67,0.9,Y,Y,Y,Y
0.00096929,66.67,0.9,Y,Y,Y,Y
0.001039692,70.59,0.85,Y,Y,Y,Y
0.001101979,70.59,0.85,Y,Y,Y,Y
0.001093347,70.59,0.85,Y,Y,Y,Y
0.001048204,75,0.8,Y,Y,Y,Y
0.001058434,15.19,3.95,Y,Y,Y,Y
0.001126245,2.71,22.15,Y,Y,Y,Y
0.001178978,52.17,1.15,Y,Y,Y,Y
0.001180641,66.67,0.9,Y,Y,Y,Y
0.00115056,92.31,0.65,Y,Y,Y,Y
0.001116433,66.67,0.9,Y,Y,Y,Y
0.001101719,109.09,0.55,Y,Y,Y,Y
0.001106691,48,1.25,Y,Y,Y,Y
0.001096725,200,0.3,Y,Y,Y,Y
0.001035732,66.67,0.9,Y,Y,Y,Y
0.000908695,109.09,0.55,Y,Y,Y,Y
0.000743326,66.67,0.9,Y,Y,Y,Y
0.000588209,70.59,0.85,Y,Y,Y,Y
0.000413554,240,0.25,Y,Y,Y,Y
0.000157283,50,1.2,Y,Y,Y,Y
-0.000124303,200,0.3,Y,Y,Y,Y
-0.000336665,52.17,1.15,Y,Y,Y,Y
-0.000500927,100,0.6,Y,Y,Y,Y
-0.000683185,63.16,0.95,Y,Y,Y,Y
-0.000884483,52.17,1.15,Y,Y,Y,Y
-0.001070752,40,1.5,Y,Y,Y,Y
-0.001228192,70.59,0.85,Y,Y,Y,Y
-0.001357278,52.17,1.15,Y,Y,Y,Y
-0.001449461,109.09,0.55,Y,Y,Y,Y
-0.001503498,70.59,0.85,Y,Y,Y,Y
-0.001541091,70.59,0.85,Y,Y,Y,Y
-0.001577954,200,0.3,Y,Y,Y,Y
-0.00159221,48,1.25,Y,Y,Y,Y
-0.001570464,70.59,0.85,Y,Y,Y,Y
-0.001564944,50,1.2,Y,Y,Y,Y
-0.001594569,240,0.25,Y,Y,Y,Y
-0.001587493,70.59,0.85,Y,Y,Y,Y
-0.00151383,85.71,0.7,Y,Y,Y,Y
-0.001420601,85.71,0.7,Y,Y,Y,Y
-0.001340715,109.09,0.55,Y,Y,Y,Y
-0.001270291,70.59,0.85,Y,Y,Y,Y
-0.001194301,200,0.3,Y,Y,Y,Y
-0.001106586,50,1.2,Y,Y,Y,Y
-0.001004801,50,1.2,Y,Y,Y,Y
-0.000892401,200,0.3,Y,Y,Y,Y
-0.000782138,63.16,0.95,Y,Y,Y,Y
-0.00068454,85.71,0.7,Y,Y,Y,Y
-0.000603966,200,0.3,Y,Y,Y,Y
-0.000523282,52.17,1.15,Y,Y,Y,Y
-0.000429265,54.55,1.1,Y,Y,Y,Y
-0.000361266,70.59,0.85,Y,Y,Y,Y
-0.000354082,200,0.3,Y,Y,Y,Y
-0.00034739,63.16,0.95,Y,Y,Y,Y
-0.00027688,66.67,0.9,Y,Y,Y,Y
-0.000179389,109.09,0.55,Y,Y,Y,Y
-0.000105959,70.59,0.85,Y,Y,Y,Y
-0.0000589,63.16,0.95,Y,Y,Y,Y
-0.000022,63.16,0.95,Y,Y,Y,Y
0.0000239,70.59,0.85,Y,Y,Y,Y
0.0000833,70.59,0.85,Y,Y,Y,Y
0.00014626,57.14,1.05,Y,Y,Y,Y
0.000198344,100,0.6,Y,Y,Y,Y
0.00022605,109.09,0.55,Y,Y,Y,Y
0.00023686,54.55,1.1,Y,Y,Y,Y
0.000249716,50,1.2,Y,Y,Y,Y
0.000275691,60,1,Y,Y,Y,Y
0.000314252,66.67,0.9,Y,Y,Y,Y
0.000321222,85.71,0.7,Y,Y,Y,Y
0.000262024,240,0.25,Y,Y,Y,Y
0.000202111,60,1,Y,Y,Y,Y
0.000211681,92.31,0.65,Y,Y,Y,Y
0.000262164,120,0.5,Y,Y,Y,Y
0.000289426,150,0.4,Y,Y,Y,Y
0.000278498,200,0.3,Y,Y,Y,Y
0.000253587,57.14,1.05,Y,Y,Y,Y
0.000239553,92.31,0.65,Y,Y,Y,Y
0.000252109,10,6,Y,Y,Y,Y
0.000287144,63.16,0.95,Y,Y,Y,Y
0.000324462,48,1.25,Y,Y,Y,Y
0.000337943,66.67,0.9,Y,Y,Y,Y
0.00032725,200,0.3,Y,Y,Y,Y
0.000323131,48,1.25,Y,Y,Y,Y
0.000341608,70.59,0.85,Y,Y,Y,Y
0.000375502,52.17,1.15,Y,Y,Y,Y
0.000393022,120,0.5,Y,Y,Y,Y
0.000356881,57.14,1.05,Y,Y,Y,Y
0.000305432,133.33,0.45,Y,Y,Y,Y
0.000328193,109.09,0.55,Y,Y,Y,Y
0.000430596,63.16,0.95,Y,Y,Y,Y
0.000540564,70.59,0.85,Y,Y,Y,Y
0.000615279,63.16,0.95,Y,Y,Y,Y
0.000664379,66.67,0.9,Y,Y,Y,Y
0.000719552,66.67,0.9,Y,Y,Y,Y
0.000807435,70.59,0.85,Y,Y,Y,Y
0.0009232,200,0.3,Y,Y,Y,Y
0.001029636,42.86,1.4,Y,Y,Y,Y
0.001100084,54.55,1.1,Y,Y,Y,Y
0.001133383,109.09,0.55,Y,Y,Y,Y
0.001137601,60,1,Y,Y,Y,Y
0.001143223,70.59,0.85,Y,Y,Y,Y
0.001175547,70.59,0.85,Y,Y,Y,Y
0.001179934,70.59,0.85,Y,Y,Y,Y
0.001091025,200,0.3,Y,Y,Y,Y
0.000973174,57.14,1.05,Y,Y,Y,Y
0.000920425,50,1.2,Y,Y,Y,Y
0.000898719,48,1.25,Y,Y,Y,Y
0.000822184,41.38,1.45,Y,Y,Y,Y
0.000666913,75,0.8,Y,Y,Y,Y
0.000463293,50,1.2,Y,Y,Y,Y
0.000245946,120,0.5,Y,Y,Y,Y
0.0000427,200,0.3,Y,Y,Y,Y
-0.000129214,200,0.3,Y,Y,Y,Y
-0.000292448,63.16,0.95,Y,Y,Y,Y
-0.000479898,75,0.8,Y,Y,Y,Y
-0.000688511,66.67,0.9,Y,Y,Y,Y
-0.000873891,70.59,0.85,Y,Y,Y,Y
-0.000995592,70.59,0.85,Y,Y,Y,Y
-0.001103968,60,1,Y,Y,Y,Y
-0.00125726,63.16,0.95,Y,Y,Y,Y
-0.001396741,66.67,0.9,Y,Y,Y,Y
-0.001452926,52.17,1.15,Y,Y,Y,Y
-0.001448242,70.59,0.85,Y,Y,Y,Y
-0.001435322,85.71,0.7,Y,Y,Y,Y
-0.00142511,70.59,0.85,Y,Y,Y,Y
-0.001404699,100,0.6,Y,Y,Y,Y
-0.001365727,109.09,0.55,Y,Y,Y,Y
-0.00130352,42.86,1.4,Y,Y,Y,Y
-0.001217469,100,0.6,Y,Y,Y,Y
-0.001112597,63.16,0.95,Y,Y,Y,Y
-0.001010854,240,0.25,Y,Y,Y,Y
-0.000927672,52.17,1.15,Y,Y,Y,Y
-0.000849352,48,1.25,Y,Y,Y,Y
-0.000749543,50,1.2,Y,Y,Y,Y
-0.000648645,66.67,0.9,Y,Y,Y,Y
-0.00060748,171.43,0.35,Y,Y,Y,Y
-0.000597552,42.86,1.4,Y,Y,Y,Y
-0.000533079,54.55,1.1,Y,Y,Y,Y
-0.000419519,133.33,0.45,Y,Y,Y,Y
-0.000316057,80,0.75,Y,Y,Y,Y
-0.000238488,57.14,1.05,Y,Y,Y,Y
-0.000174626,50,1.2,Y,Y,Y,Y
-0.000113079,109.09,0.55,Y,Y,Y,Y
-0.000039,54.55,1.1,Y,Y,Y,Y
0.0000547,100,0.6,Y,Y,Y,Y
0.000146517,66.67,0.9,Y,Y,Y,Y
0.000204611,63.16,0.95,Y,Y,Y,Y
0.000223363,66.67,0.9,Y,Y,Y,Y
0.000227849,66.67,0.9,Y,Y,Y,Y
0.000251162,109.09,0.55,Y,Y,Y,Y
0.000295655,100,0.6,Y,Y,Y,Y
0.000311993,92.31,0.65,Y,Y,Y,Y
0.000254372,66.67,0.9,Y,Y,Y,Y
0.000173331,75,0.8,Y,Y,Y,Y
0.000160441,75,0.8,Y,Y,Y,Y
0.000211426,63.16,0.95,Y,Y,Y,Y
0.000257283,52.17,1.15,Y,Y,Y,Y
0.000265437,41.38,1.45,Y,Y,Y,Y
0.00025102,52.17,1.15,Y,Y,Y,Y
0.000241336,66.67,0.9,Y,Y,Y,Y
0.000248122,52.17,1.15,Y,Y,Y,Y
0.000270562,200,0.3,Y,Y,Y,Y
0.000299721,109.09,0.55,Y,Y,Y,Y
0.000308255,48,1.25,Y,Y,Y,Y
0.000290308,70.59,0.85,Y,Y,Y,Y
0.00028047,75,0.8,Y,Y,Y,Y
0.000297641,44.44,1.35,Y,Y,Y,Y
0.000329782,50,1.2,Y,Y,Y,Y
0.000325708,70.59,0.85,Y,Y,Y,Y
0.000247597,66.67,0.9,Y,Y,Y,Y
0.000164649,15.19,3.95,Y,Y,Y,Y
0.000157352,70.59,0.85,Y,Y,Y,Y
0.000200204,66.67,0.9,Y,Y,Y,Y
0.000222849,109.09,0.55,Y,Y,Y,Y
0.000203769,75,0.8,Y,Y,Y,Y
0.000166783,57.14,1.05,Y,Y,Y,Y
0.000142709,60,1,Y,Y,Y,Y
0.000159023,70.59,0.85,Y,Y,Y,Y
0.000216991,40,1.5,Y,Y,Y,Y
0.000287043,92.31,0.65,Y,Y,Y,Y
0.0001943,54.55,1.1,Y,Y,Y,Y
0.000281469,171.43,0.35,Y,Y,Y,Y
0.000382477,133.33,0.45,Y,Y,Y,Y
0.000506254,133.33,0.45,Y,Y,Y,Y
0.000629522,109.09,0.55,Y,Y,Y,Y
0.000736229,100,0.6,Y,Y,Y,Y
0.000827312,48,1.25,Y,Y,Y,Y
0.000903265,75,0.8,Y,Y,Y,Y
0.000970637,63.16,0.95,Y,Y,Y,Y
0.001044134,92.31,0.65,Y,Y,Y,Y
0.00107861,200,0.3,Y,Y,Y,Y
0.001014011,50,1.2,Y,Y,Y,Y
0.000926176,66.67,0.9,Y,Y,Y,Y
0.000921654,109.09,0.55,Y,Y,Y,Y
0.000967702,85.71,0.7,Y,Y,Y,Y
0.000982028,109.09,0.55,Y,Y,Y,Y
0.000945693,63.16,0.95,Y,Y,Y,Y
0.000883229,120,0.5,Y,Y,Y,Y
0.000817149,171.43,0.35,Y,Y,Y,Y
0.000760707,44.44,1.35,Y,Y,Y,Y
0.000714147,66.67,0.9,Y,Y,Y,Y
0.00066638,66.67,0.9,Y,Y,Y,Y
0.000602339,200,0.3,Y,Y,Y,Y
0.000528997,70.59,0.85,Y,Y,Y,Y
0.000472599,109.09,0.55,Y,Y,Y,Y
0.000386709,66.67,0.9,Y,Y,Y,Y
0.000189895,63.16,0.95,Y,Y,Y,Y
-0.0000723,66.67,0.9,Y,Y,Y,Y
-0.000282906,70.59,0.85,Y,Y,Y,Y
-0.000426657,66.67,0.9,Y,Y,Y,Y
-0.000557835,48,1.25,Y,Y,Y,Y
-0.000699321,92.31,0.65,Y,Y,Y,Y
-0.000853003,75,0.8,Y,Y,Y,Y
-0.001002821,63.16,0.95,Y,Y,Y,Y
-0.001109979,66.67,0.9,Y,Y,Y,Y
-0.001163009,48,1.25,Y,Y,Y,Y
-0.001185644,57.14,1.05,Y,Y,Y,Y
-0.00119886,54.55,1.1,Y,Y,Y,Y
-0.001214723,100,0.6,Y,Y,Y,Y
-0.00120964,109.09,0.55,Y,Y,Y,Y
-0.001151108,60,1,Y,Y,Y,Y
-0.001103239,200,0.3,Y,Y,Y,Y
-0.001120822,100,0.6,Y,Y,Y,Y
-0.001108873,70.59,0.85,Y,Y,Y,Y
-0.000985984,75,0.8,Y,Y,Y,Y
-0.000817173,66.67,0.9,Y,Y,Y,Y
-0.000685821,60,1,Y,Y,Y,Y
-0.000585786,50,1.2,Y,Y,Y,Y
-0.000483359,100,0.6,Y,Y,Y,Y
-0.000370411,109.09,0.55,Y,Y,Y,Y
-0.00025477,57.14,1.05,Y,Y,Y,Y
-0.000159554,70.59,0.85,Y,Y,Y,Y
-0.00011157,240,0.25,Y,Y,Y,Y
-0.000105195,92.31,0.65,Y,Y,Y,Y
-0.0000939,100,0.6,Y,Y,Y,Y
-0.0000814,50,1.2,Y,Y,Y,Y
-0.000126541,50,1.2,Y,Y,Y,Y
-0.000192034,92.31,0.65,Y,Y,Y,Y
-0.000175145,66.67,0.9,Y,Y,Y,Y
-0.0000705,70.59,0.85,Y,Y,Y,Y
0.0000632,66.67,0.9,Y,Y,Y,Y
0.000210411,109.09,0.55,Y,Y,Y,Y
0.000368924,9.23,6.5,Y,Y,Y,Y
0.0005156,54.55,1.1,Y,Y,Y,Y
0.000647455,75,0.8,Y,Y,Y,Y
0.00077676,46.15,1.3,Y,Y,Y,Y
0.000909861,70.59,0.85,Y,Y,Y,Y
0.00104352,200,0.3,Y,Y,Y,Y
0.001168286,100,0.6,Y,Y,Y,Y
0.001269471,66.67,0.9,Y,Y,Y,Y
0.001297314,100,0.6,Y,Y,Y,Y
0.001248751,50,1.2,Y,Y,Y,Y
0.001221261,46.15,1.3,Y,Y,Y,Y
0.001257327,60,1,Y,Y,Y,Y
0.001288173,38.71,1.55,Y,Y,Y,Y
0.001254786,50,1.2,Y,Y,Y,Y
0.001167881,70.59,0.85,Y,Y,Y,Y
0.001072077,133.33,0.45,Y,Y,Y,Y
0.000993317,60,1,Y,Y,Y,Y
0.000918973,42.86,1.4,Y,Y,Y,Y
0.00083051,66.67,0.9,Y,Y,Y,Y
0.000728897,109.09,0.55,Y,Y,Y,Y
0.00062142,240,0.25,Y,Y,Y,Y
0.000512012,200,0.3,Y,Y,Y,Y
0.000369334,42.86,1.4,Y,Y,Y,Y
0.000138228,200,0.3,Y,Y,Y,Y
-0.000146346,66.67,0.9,Y,Y,Y,Y
-0.000377403,66.67,0.9,Y,Y,Y,Y
-0.000534745,40,1.5,Y,Y,Y,Y
-0.000673532,75,0.8,Y,Y,Y,Y
-0.000820052,85.71,0.7,Y,Y,Y,Y
-0.000974961,109.09,0.55,Y,Y,Y,Y
-0.001121135,100,0.6,Y,Y,Y,Y
-0.001222068,66.67,0.9,Y,Y,Y,Y
-0.001267712,42.86,1.4,Y,Y,Y,Y
-0.001281096,109.09,0.55,Y,Y,Y,Y
-0.001291472,200,0.3,Y,Y,Y,Y
-0.001300245,240,0.25,Y,Y,Y,Y
-0.001269713,75,0.8,Y,Y,Y,Y
-0.001218761,70.59,0.85,Y,Y,Y,Y
-0.001213297,66.67,0.9,Y,Y,Y,Y
-0.001215383,70.59,0.85,Y,Y,Y,Y
-0.001133423,75,0.8,Y,Y,Y,Y
-0.000979358,100,0.6,Y,Y,Y,Y
-0.000833654,57.14,1.05,Y,Y,Y,Y
-0.000731267,200,0.3,Y,Y,Y,Y
-0.000653036,66.67,0.9,Y,Y,Y,Y
-0.000576633,92.31,0.65,Y,Y,Y,Y
-0.000500172,50,1.2,Y,Y,Y,Y
-0.000429668,100,0.6,Y,Y,Y,Y
-0.000371531,75,0.8,Y,Y,Y,Y
-0.000329921,70.59,0.85,Y,Y,Y,Y
-0.000281694,52.17,1.15,Y,Y,Y,Y
-0.000222078,54.55,1.1,Y,Y,Y,Y
-0.000206848,200,0.3,Y,Y,Y,Y
-0.000229598,63.16,0.95,Y,Y,Y,Y
-0.000188194,66.67,0.9,Y,Y,Y,Y
-0.0000531,66.67,0.9,Y,Y,Y,Y
0.0000956,70.59,0.85,Y,Y,Y,Y
0.00020498,66.67,0.9,Y,Y,Y,Y
0.000293314,109.09,0.55,Y,Y,Y,Y
0.000388957,100,0.6,Y,Y,Y,Y
0.000491837,42.86,1.4,Y,Y,Y,Y
0.000590669,8.28,7.25,Y,Y,Y,Y
0.000691016,70.59,0.85,Y,Y,Y,Y
0.000791358,70.59,0.85,Y,Y,Y,Y
0.000874118,70.59,0.85,Y,Y,Y,Y
0.00094803,100,0.6,Y,Y,Y,Y
0.001010646,100,0.6,Y,Y,Y,Y
0.001007197,66.67,0.9,Y,Y,Y,Y
0.000943823,75,0.8,Y,Y,Y,Y
0.00091692,109.09,0.55,Y,Y,Y,Y
0.000953879,100,0.6,Y,Y,Y,Y
0.000993,54.55,1.1,Y,Y,Y,Y
0.000991743,75,0.8,Y,Y,Y,Y
0.000955882,52.17,1.15,Y,Y,Y,Y
0.00091556,92.31,0.65,Y,Y,Y,Y
0.000886629,70.59,0.85,Y,Y,Y,Y
0.000857122,75,0.8,Y,Y,Y,Y
0.000818968,75,0.8,Y,Y,Y,Y
0.00078234,75,0.8,Y,Y,Y,Y
0.000749804,66.67,0.9,Y,Y,Y,Y
0.000724094,44.44,1.35,Y,Y,Y,Y
0.000704155,60,1,Y,Y,Y,Y
0.000641201,240,0.25,Y,Y,Y,Y
0.000468492,92.31,0.65,Y,Y,Y,Y
0.000214748,63.16,0.95,Y,Y,Y,Y
0.00000263,120,0.5,Y,Y,Y,Y
-0.000123636,52.17,1.15,Y,Y,Y,Y
-0.000231933,150,0.4,Y,Y,Y,Y
-0.000370268,200,0.3,Y,Y,Y,Y
-0.00052928,46.15,1.3,Y,Y,Y,Y
-0.000682944,240,0.25,Y,Y,Y,Y
-0.000795407,100,0.6,Y,Y,Y,Y
-0.00084485,70.59,0.85,Y,Y,Y,Y
-0.000857553,66.67,0.9,Y,Y,Y,Y
-0.000864526,70.59,0.85,Y,Y,Y,Y
-0.000869934,109.09,0.55,Y,Y,Y,Y
-0.000870048,54.55,1.1,Y,Y,Y,Y
-0.000844954,240,0.25,Y,Y,Y,Y
-0.000770046,54.55,1.1,Y,Y,Y,Y
-0.000696094,240,0.25,Y,Y,Y,Y
-0.000700535,100,0.6,Y,Y,Y,Y
-0.000733929,57.14,1.05,Y,Y,Y,Y
-0.00068658,54.55,1.1,Y,Y,Y,Y
-0.00055952,120,0.5,Y,Y,Y,Y
-0.000448469,200,0.3,Y,Y,Y,Y
-0.000403221,75,0.8,Y,Y,Y,Y
-0.000395566,92.31,0.65,Y,Y,Y,Y
-0.000387698,100,0.6,Y,Y,Y,Y
-0.000360222,66.67,0.9,Y,Y,Y,Y
-0.000302136,109.09,0.55,Y,Y,Y,Y
-0.000222346,70.59,0.85,Y,Y,Y,Y
-0.000155201,85.71,0.7,Y,Y,Y,Y
-0.000116031,52.17,1.15,Y,Y,Y,Y
-0.0000698,109.09,0.55,Y,Y,Y,Y
0.0000254,100,0.6,Y,Y,Y,Y
0.000122111,44.44,1.35,Y,Y,Y,Y
0.000138347,46.15,1.3,Y,Y,Y,Y
0.000123113,8.28,7.25,Y,Y,Y,Y
0.000189812,66.67,0.9,Y,Y,Y,Y
0.000339816,100,0.6,Y,Y,Y,Y
0.000484779,21.43,2.8,Y,Y,Y,Y
0.000576835,41.38,1.45,Y,Y,Y,Y
0.000640095,240,0.25,Y,Y,Y,Y
0.000704037,100,0.6,Y,Y,Y,Y
0.000768579,240,0.25,Y,Y,Y,Y
0.000830593,75,0.8,Y,Y,Y,Y
0.00088735,57.14,1.05,Y,Y,Y,Y
0.000922533,120,0.5,Y,Y,Y,Y
0.000930745,75,0.8,Y,Y,Y,Y
0.000928581,75,0.8,Y,Y,Y,Y
0.000933954,85.71,0.7,Y,Y,Y,Y
0.000932908,70.59,0.85,Y,Y,Y,Y
0.000855601,41.38,1.45,Y,Y,Y,Y
0.000678062,200,0.3,Y,Y,Y,Y
0.000509274,70.59,0.85,Y,Y,Y,Y
0.000435312,70.59,0.85,Y,Y,Y,Y
0.000398435,70.59,0.85,Y,Y,Y,Y
0.000327844,200,0.3,Y,Y,Y,Y
0.000230187,66.67,0.9,Y,Y,Y,Y
0.000127605,100,0.6,Y,Y,Y,Y
0.0000361,63.16,0.95,Y,Y,Y,Y
-0.0000254,70.59,0.85,Y,Y,Y,Y
-0.0000591,70.59,0.85,Y,Y,Y,Y
-0.000103584,50,1.2,Y,Y,Y,Y
-0.000191989,100,0.6,Y,Y,Y,Y
-0.000301514,66.67,0.9,Y,Y,Y,Y
-0.000392019,66.67,0.9,Y,Y,Y,Y
-0.00043644,66.67,0.9,Y,Y,Y,Y
-0.000468641,70.59,0.85,Y,Y,Y,Y
-0.000587182,100,0.6,Y,Y,Y,Y
-0.00078102,50,1.2,Y,Y,Y,Y
-0.000912567,70.59,0.85,Y,Y,Y,Y
-0.000925724,48,1.25,Y,Y,Y,Y
-0.000898292,120,0.5,Y,Y,Y,Y
-0.000903248,66.67,0.9,Y,Y,Y,Y
-0.000938257,70.59,0.85,Y,Y,Y,Y
-0.000966779,100,0.6,Y,Y,Y,Y
-0.000955551,85.71,0.7,Y,Y,Y,Y
-0.000897555,60,1,Y,Y,Y,Y
-0.000816235,44.44,1.35,Y,Y,Y,Y
-0.000742625,50,1.2,Y,Y,Y,Y
-0.000693126,42.86,1.4,Y,Y,Y,Y
-0.000647888,66.67,0.9,Y,Y,Y,Y
-0.000557113,70.59,0.85,Y,Y,Y,Y
-0.000450849,60,1,Y,Y,Y,Y
-0.000448503,171.43,0.35,Y,Y,Y,Y
-0.000540073,54.55,1.1,Y,Y,Y,Y
-0.000577298,100,0.6,Y,Y,Y,Y
-0.000516152,100,0.6,Y,Y,Y,Y
-0.000433217,240,0.25,Y,Y,Y,Y
-0.000368136,48,1.25,Y,Y,Y,Y
-0.000310611,100,0.6,Y,Y,Y,Y
-0.000249065,54.55,1.1,Y,Y,Y,Y
-0.000165586,85.71,0.7,Y,Y,Y,Y
-0.0000456,75,0.8,Y,Y,Y,Y
0.000101548,171.43,0.35,Y,Y,Y,Y
0.000231887,42.86,1.4,Y,Y,Y,Y
0.000305428,200,0.3,Y,Y,Y,Y
0.000354914,46.15,1.3,Y,Y,Y,Y
0.000429427,42.86,1.4,Y,Y,Y,Y
0.000480307,70.59,0.85,Y,Y,Y,Y
0.000439775,54.55,1.1,Y,Y,Y,Y
0.00037918,52.17,1.15,Y,Y,Y,Y
0.00040645,150,0.4,Y,Y,Y,Y
0.000490726,300,0.2,Y,Y,Y,Y
0.000551758,70.59,0.85,Y,Y,Y,Y
0.000580317,75,0.8,Y,Y,Y,Y
0.00059983,80,0.75,Y,Y,Y,Y
0.000613674,60,1,Y,Y,Y,Y
0.000613255,40,1.5,Y,Y,Y,Y
0.000607528,75,0.8,Y,Y,Y,Y
0.000605885,80,0.75,Y,Y,Y,Y
0.000593339,109.09,0.55,Y,Y,Y,Y
0.000558658,60,1,Y,Y,Y,Y
0.000519784,80,0.75,Y,Y,Y,Y
0.000494841,57.14,1.05,Y,Y,Y,Y
0.000427876,70.59,0.85,Y,Y,Y,Y
0.000259342,75,0.8,Y,Y,Y,Y
0.0000696,40,1.5,Y,Y,Y,Y
-0.000043,52.17,1.15,Y,Y,Y,Y
-0.000106743,75,0.8,Y,Y,Y,Y
-0.00018251,40,1.5,Y,Y,Y,Y
-0.00027801,42.86,1.4,Y,Y,Y,Y
-0.000373776,240,0.25,Y,Y,Y,Y
-0.000455814,200,0.3,Y,Y,Y,Y
-0.000507764,48,1.25,Y,Y,Y,Y
-0.000514362,100,0.6,Y,Y,Y,Y
-0.000489075,50,1.2,Y,Y,Y,Y
-0.000463195,70.59,0.85,Y,Y,Y,Y
-0.000452353,70.59,0.85,Y,Y,Y,Y
-0.000422478,109.09,0.55,Y,Y,Y,Y
-0.000330596,50,1.2,Y,Y,Y,Y
-0.000235973,109.09,0.55,Y,Y,Y,Y
-0.000219008,200,0.3,Y,Y,Y,Y
-0.000222625,75,0.8,Y,Y,Y,Y
-0.000150247,60,1,Y,Y,Y,Y
-0.0000236,66.67,0.9,Y,Y,Y,Y
0.0000746,48,1.25,Y,Y,Y,Y
0.000115914,63.16,0.95,Y,Y,Y,Y
0.000116115,48,1.25,Y,Y,Y,Y
0.0000978,200,0.3,Y,Y,Y,Y
0.0000822,109.09,0.55,Y,Y,Y,Y
0.0000779,75,0.8,Y,Y,Y,Y
0.0000829,70.59,0.85,Y,Y,Y,Y
0.0000748,63.16,0.95,Y,Y,Y,Y
0.0000473,20,3,Y,Y,Y,Y
0.0000478,240,0.25,Y,Y,Y,Y
0.0000734,100,0.6,Y,Y,Y,Y
0.0000528,171.43,0.35,Y,Y,Y,Y
0.0000039,70.59,0.85,Y,Y,Y,Y
0.0000307,63.16,0.95,Y,Y,Y,Y
0.000144292,75,0.8,Y,Y,Y,Y
0.000255378,70.59,0.85,Y,Y,Y,Y
0.000323764,50,1.2,Y,Y,Y,Y
0.000381269,92.31,0.65,Y,Y,Y,Y
0.000444224,240,0.25,Y,Y,Y,Y
0.000500272,66.67,0.9,Y,Y,Y,Y
0.000546569,70.59,0.85,Y,Y,Y,Y
0.000594604,66.67,0.9,Y,Y,Y,Y
0.000647123,66.67,0.9,Y,Y,Y,Y
0.000687617,100,0.6,Y,Y,Y,Y
0.00072009,200,0.3,Y,Y,Y,Y
0.000755337,109.09,0.55,Y,Y,Y,Y
0.000742381,66.67,0.9,Y,Y,Y,Y
0.000640889,41.38,1.45,Y,Y,Y,Y
0.000532468,200,0.3,Y,Y,Y,Y
0.000504005,70.59,0.85,Y,Y,Y,Y
0.000518447,100,0.6,Y,Y,Y,Y
-0.000373411,92.31,0.65,Y,Y,Y,Y
-0.000442422,92.31,0.65,Y,Y,Y,Y
-0.000528174,11.32,5.3,Y,Y,Y,Y
-0.000611918,75,0.8,Y,Y,Y,Y
-0.000671025,66.67,0.9,Y,Y,Y,Y
-0.000685449,63.16,0.95,Y,Y,Y,Y
-0.000671288,70.59,0.85,Y,Y,Y,Y
-0.000661615,200,0.3,Y,Y,Y,Y
-0.000663783,100,0.6,Y,Y,Y,Y
-0.000669321,63.16,0.95,Y,Y,Y,Y
-0.000644549,50,1.2,Y,Y,Y,Y
-0.000584132,92.31,0.65,Y,Y,Y,Y
-0.000569961,70.59,0.85,Y,Y,Y,Y
-0.00061848,200,0.3,Y,Y,Y,Y
-0.000622724,120,0.5,Y,Y,Y,Y
-0.000539741,54.55,1.1,Y,Y,Y,Y
-0.000436655,171.43,0.35,Y,Y,Y,Y
-0.00037294,52.17,1.15,Y,Y,Y,Y
-0.000359833,70.59,0.85,Y,Y,Y,Y
-0.000382956,66.67,0.9,Y,Y,Y,Y
-0.000404964,63.16,0.95,Y,Y,Y,Y
-0.000396495,63.16,0.95,Y,Y,Y,Y
-0.000364562,240,0.25,Y,Y,Y,Y
-0.000329582,92.31,0.65,Y,Y,Y,Y
-0.00030589,70.59,0.85,Y,Y,Y,Y
-0.000271222,52.17,1.15,Y,Y,Y,Y
-0.000216802,109.09,0.55,Y,Y,Y,Y
-0.000204845,200,0.3,Y,Y,Y,Y
-0.000231712,41.38,1.45,Y,Y,Y,Y
-0.000196579,75,0.8,Y,Y,Y,Y
-0.0000744,54.55,1.1,Y,Y,Y,Y
0.000064,70.59,0.85,Y,Y,Y,Y
0.00017197,100,0.6,Y,Y,Y,Y
0.000260531,66.67,0.9,Y,Y,Y,Y
0.000347643,75,0.8,Y,Y,Y,Y
0.000433278,42.86,1.4,Y,Y,Y,Y
0.000515068,52.17,1.15,Y,Y,Y,Y
0.000593513,66.67,0.9,Y,Y,Y,Y
0.000667103,50,1.2,Y,Y,Y,Y
0.000727429,109.09,0.55,Y,Y,Y,Y
0.0007765,66.67,0.9,Y,Y,Y,Y
0.000826395,70.59,0.85,Y,Y,Y,Y
0.000832483,70.59,0.85,Y,Y,Y,Y
0.000747559,200,0.3,Y,Y,Y,Y
0.000648126,48,1.25,Y,Y,Y,Y
0.000626011,70.59,0.85,Y,Y,Y,Y
