stable;hr;br;hrv;hr_wfm;br_wfm;is_sleep;status;session_id;created_at;uid
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:34.914;1
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:34.995;2
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.135;3
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.183;4
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.233;5
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.281;6
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.331;7
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.378;8
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.427;9
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.477;10
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.524;11
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.574;12
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.623;13
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.721;14
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.723;15
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.774;16
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.818;17
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.868;18
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.918;19
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:35.965;20
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:36.017;21
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:36.064;22
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.064;23
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.211;24
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.258;25
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.307;26
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.356;27
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.402;28
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.451;29
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.504;30
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.548;31
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.597;32
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.646;33
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.695;34
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.744;35
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.793;36
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.842;37
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.889;38
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.939;39
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:38.988;40
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.036;41
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.085;42
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.188;43
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.241;44
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.329;45
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.333;46
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.381;47
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.448;48
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.497;49
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.546;50
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.644;51
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.696;52
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.744;53
0;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.789;54
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.840;55
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.887;56
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.935;57
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:39.984;58
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.032;59
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.082;60
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.131;61
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.179;62
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.229;63
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.276;64
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.324;65
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.374;66
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.423;67
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.471;68
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.521;69
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.568;70
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.618;71
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.666;72
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.716;73
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.765;74
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.813;75
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.862;76
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.910;77
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:40.962;78
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:41.008;79
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:41.057;80
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:41.105;81
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:41.154;82
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:41.202;83
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:41.252;84
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:41.301;85
1;0;0;0.0;0.0;0.0;1;Miss threshold;1;17:12:41.350;86
3;69;10;0.9;-36.151;428.827;1;Miss threshold;1;17:12:41.399;87
3;69;10;0.9;-104.478;421.731;1;Miss threshold;1;17:12:41.446;88
3;69;10;0.9;-160.634;418.316;1;Miss threshold;1;17:12:41.495;89
3;69;10;0.9;-172.816;421.586;1;Miss threshold;1;17:12:41.594;90
3;69;10;0.9;-135.981;429.71;1;Miss threshold;1;17:12:41.642;91
3;69;10;0.9;-96.786;432.997;1;Miss threshold;1;17:12:41.692;92
3;69;10;0.9;-102.446;423.146;1;Miss threshold;1;17:12:41.741;93
3;69;10;0.9;-128.31;399.507;1;Miss threshold;1;17:12:41.790;94
3;69;10;0.9;-104.042;363.977;1;Miss threshold;1;17:12:41.839;95
3;69;10;0.9;-17.142;313.304;1;Miss threshold;1;17:12:41.887;96
3;69;10;0.9;66.373;245.87;1;Miss threshold;1;17:12:41.936;97
3;69;10;0.9;100.406;166.778;1;Miss threshold;1;17:12:41.985;98
3;69;10;0.9;111.027;80.531;1;Miss threshold;1;17:12:42.033;99
3;69;10;0.9;128.293;-12.76;1;Miss threshold;1;17:12:42.083;100
3;69;10;0.9;137.28;-110.902;1;Miss threshold;1;17:12:42.133;101
3;69;10;0.9;123.898;-206.085;1;Miss threshold;1;17:12:42.180;102
3;69;10;0.9;102.756;-295.25;1;Miss threshold;1;17:12:42.279;103
3;69;10;0.9;77.059;-380.111;1;Miss threshold;1;17:12:42.282;104
3;69;10;0.9;32.152;-460.566;1;Miss threshold;1;17:12:42.327;105
3;69;10;0.9;-26.903;-538.41;1;Miss threshold;1;17:12:42.374;106
